experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.9234800040721893,0.9235
0,1,0.9525400027632713,0.9525
0,2,0.9549800008535385,0.955
0,3,0.953600000590086,0.9536
0,4,0.951179999858141,0.9512
0,5,0.9617800004780293,0.9618
0,6,0.955620002001524,0.9556
0,7,0.8350200057029724,0.835
0,8,0.9557199999690056,0.9557
0,9,0.9526000022888184,0.9526
0,10,0.955740001052618,0.9557
0,11,0.9531400017440319,0.9531
0,12,0.9554200023412704,0.9554
0,13,0.9320600032806396,0.9321
0,14,0.9609200023114681,0.9609
0,15,0.9456200003623962,0.9456
0,16,0.9560599997639656,0.9561
0,17,0.9651600010693073,0.9652
0,18,0.955400001257658,0.9554
0,19,0.9550999999046326,0.9551
1,0,0.9777599999179074,0.9999
1,1,0.9777400010061683,0.9999
1,2,0.9777500012387463,0.9999
1,3,0.9777800012379885,1.0
1,4,0.9777800012379885,1.0
1,5,0.9777800012379885,1.0
1,6,0.9777800012379885,1.0
1,7,0.9777800012379885,1.0
1,8,0.9777800012379885,1.0
1,9,0.9777800012379885,1.0
1,10,0.9777800012379885,1.0
1,11,0.9777800012379885,1.0
1,12,0.9777800012379885,1.0
1,13,0.9777800012379885,1.0
1,14,0.9777800012379885,1.0
1,15,0.9777800012379885,1.0
1,16,0.9777800012379885,1.0
1,17,0.9777800012379885,1.0
1,18,0.9777800012379885,1.0
1,19,0.9777800012379885,1.0
2,0,0.9310066687564055,0.8376
2,1,0.9397200002179792,0.8561
2,2,0.9310066687564055,0.8376
2,3,0.9310600000123183,0.8377
2,4,0.8123466670513153,0.754
2,5,0.9310133345425129,0.8376
2,6,0.923766669506828,0.8621
2,7,0.9294466689073791,0.8374
2,8,0.9541600001587843,0.8982
2,9,0.9208933363358179,0.8649
2,10,0.941306666781505,0.8967
2,11,0.9210466692845026,0.8699
2,12,0.9583000002118448,0.9107
2,13,0.92811333698531,0.8717
2,14,0.9358733352273703,0.886
2,15,0.9409133320053419,0.8711
2,16,0.9494266680752238,0.8962
2,17,0.9405266679823399,0.8864
2,18,0.9588733345735818,0.9115
2,19,0.7359466701745987,0.6995
3,0,0.8912750016897917,0.8473
3,1,0.9237450020737015,0.8501
3,2,0.8301650062203407,0.8177
3,3,0.9055850044824183,0.8271
3,4,0.9316450005862862,0.8753
3,5,0.9090100037865341,0.8425
3,6,0.9386850014561787,0.8852
3,7,0.9230550033971667,0.859
3,8,0.9294800017542002,0.8617
3,9,0.9413200009439606,0.8872
3,10,0.8911350013804622,0.7734
3,11,0.9254000028595328,0.8567
3,12,0.8014800064265728,0.7784
3,13,0.9401600005221553,0.8863
3,14,0.9232650008052588,0.8635
3,15,0.9142299997620285,0.8502
3,16,0.9046250018291175,0.8421
3,17,0.934435001523525,0.8741
3,18,0.839975006878376,0.8267
3,19,0.9281650000339141,0.8594
4,0,0.7612440049648285,0.71
4,1,0.9158440005034209,0.8754
4,2,0.9175320020876825,0.876
4,3,0.9224520035088062,0.8852
4,4,0.877112003415823,0.8108
4,5,0.9248120016418397,0.885
4,6,0.9175720005296171,0.877
4,7,0.8556840024888516,0.7792
4,8,0.9034840032458306,0.8458
4,9,0.8997760005295277,0.8531
4,10,0.9238000012002885,0.8855
4,11,0.835892005264759,0.7842
4,12,0.91603200212121,0.8749
4,13,0.9078800001181662,0.8626
4,14,0.9304720008629375,0.8888
4,15,0.8740520030260086,0.8037
4,16,0.9157920037861913,0.8618
4,17,0.9273560006171465,0.8921
4,18,0.9179240008816123,0.8777
4,19,0.9294200024567545,0.89
5,0,0.9037578014124115,0.8439
5,1,0.8822700387761456,0.8402
5,2,0.9054664306147394,0.8759
5,3,0.9175370596578032,0.8841
5,4,0.9091041554498479,0.8729
5,5,0.9002618056368291,0.8841
5,6,0.928623455093732,0.9126
5,7,0.90443495648334,0.8479
5,8,0.9293635956285549,0.9061
5,9,0.9202456663175632,0.8971
5,10,0.9303871982550659,0.9116
5,11,0.8729119564123461,0.82
5,12,0.9308045146977786,0.9139
5,13,0.8731875384121541,0.8192
5,14,0.8731599769397682,0.8192
5,15,0.6656128938263888,0.6265
5,16,0.873163914083449,0.8192
5,17,0.8731836049350256,0.8192
5,18,0.5211984160203347,0.5024
5,19,0.8726442445081871,0.8205
