experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.955400001257658,0.9554
0,1,0.9873600006103516,0.9874
0,2,0.9896600004285574,0.9897
0,3,0.9908800004050136,0.9909
0,4,0.9922200003638864,0.9922
0,5,0.9922400000505149,0.9922
0,6,0.9925600001588464,0.9926
0,7,0.9925400000065565,0.9925
0,8,0.9928000001236796,0.9928
0,9,0.9930400000885129,0.993
0,10,0.9928800002671778,0.9929
0,11,0.9934600000269711,0.9935
0,12,0.9930200004018843,0.993
0,13,0.9935200000181794,0.9935
0,14,0.9938600002788007,0.9939
0,15,0.9936800003051758,0.9937
0,16,0.9935000003315508,0.9935
0,17,0.993300000205636,0.9933
0,18,0.9936800003051758,0.9937
0,19,0.9937599999830127,0.9938
1,0,0.9935800000093877,1.0
1,1,0.9934000000357628,1.0
1,2,0.9933800003491342,1.0
1,3,0.9933400000445545,1.0
1,4,0.9933200003579259,1.0
1,5,0.9933299999684095,1.0
1,6,0.9933299999684095,1.0
1,7,0.9933400000445545,1.0
1,8,0.9933500001206994,1.0
1,9,0.9933600001968443,1.0
1,10,0.9933600001968443,1.0
1,11,0.9933600001968443,1.0
1,12,0.9933700002729893,1.0
1,13,0.9933700002729893,1.0
1,14,0.9933700002729893,1.0
1,15,0.9933700002729893,1.0
1,16,0.9933700002729893,1.0
1,17,0.9933700002729893,1.0
1,18,0.9933700002729893,1.0
1,19,0.9933700002729893,1.0
2,0,0.990753333135217,0.9818
2,1,0.9922533336405953,0.9843
2,2,0.9921933334941665,0.9846
2,3,0.9922000002115965,0.9847
2,4,0.9932400002144277,0.9871
2,5,0.9937133335818847,0.9882
2,6,0.9934466667473316,0.9871
2,7,0.9940266669727862,0.9885
2,8,0.9940000002582868,0.9886
2,9,0.994100000243634,0.9887
2,10,0.9933800001939138,0.9872
2,11,0.9938800002758702,0.9883
2,12,0.994120000085483,0.9885
2,13,0.9941333335203429,0.9886
2,14,0.9942666667823991,0.989
2,15,0.9943600002055367,0.9892
2,16,0.9941733335144818,0.9888
2,17,0.9940066668204963,0.9884
2,18,0.9942866667794684,0.9892
2,19,0.9942200002260506,0.9892
3,0,0.9913800002541393,0.9866
3,1,0.9919450001325458,0.9869
3,2,0.9921250001061708,0.9879
3,3,0.9923800001852214,0.9886
3,4,0.9927800003206357,0.9889
3,5,0.9928650001529604,0.9889
3,6,0.9931750000687316,0.9894
3,7,0.9930950002744794,0.9892
3,8,0.9930150002473965,0.9891
3,9,0.993190000182949,0.9893
3,10,0.9931000001961365,0.9895
3,11,0.9931650002254173,0.9894
3,12,0.9927300001727417,0.9887
3,13,0.9931150001939386,0.9893
3,14,0.9930850000819191,0.9895
3,15,0.9933400000445545,0.99
3,16,0.9929850000189617,0.9896
3,17,0.9930999999633059,0.9894
3,18,0.9933450003154576,0.9898
3,19,0.9933450000826269,0.9899
4,0,0.9918040002696216,0.9883
4,1,0.99227600004524,0.9894
4,2,0.9921880002133548,0.9895
4,3,0.9924480002373457,0.9896
4,4,0.9924440002068877,0.9896
4,5,0.9923320000991225,0.9892
4,6,0.9923000001348555,0.9893
4,7,0.9923320001922548,0.9894
4,8,0.9923760002478957,0.9895
4,9,0.9923200001940131,0.9892
4,10,0.9924080001190305,0.9898
4,11,0.9925200002267957,0.9895
4,12,0.9924440001137554,0.9899
4,13,0.992548000253737,0.9899
4,14,0.9922440000809729,0.9895
4,15,0.9924120001494885,0.9896
4,16,0.9926320003345609,0.9901
4,17,0.9925120000727474,0.9898
4,18,0.992340000346303,0.9899
4,19,0.9923480001278222,0.9897
5,0,0.9909529343142697,0.983
5,1,0.9913741856693827,0.9785
5,2,0.9889647843193845,0.9858
5,3,0.9897482335668745,0.9873
5,4,0.9907718355515188,0.9843
5,5,0.9908033309978879,0.9855
5,6,0.9910198619272016,0.9853
5,7,0.9917048879926895,0.9875
5,8,0.991311194888768,0.9868
5,9,0.9915395368677842,0.9865
5,10,0.9916773295983374,0.9863
5,11,0.9918387435997098,0.987
5,12,0.9916340232177808,0.9863
5,13,0.9917796897792281,0.9868
5,14,0.9913190688113258,0.9875
5,15,0.9912560778324788,0.9873
5,16,0.991425365769242,0.988
5,17,0.9912600147378521,0.9878
5,18,0.9910946637761265,0.987
5,19,0.991275762467453,0.988
